is_active,repetition,iteration,feature,vif
True,0,15,"('cores', 'ram')",5.964737505249895
True,0,15,"('cores', 'level')",14.445561139028484
True,0,15,"('level', 'ram')",1.794023393686909
True,0,15,"('level', 'wind_size_unl')",6.034220247603832
True,0,15,"('level', 'threshold')",2.842054574638844
True,0,20,"('cores', 'ram')",5.964737505249895
True,0,20,"('cores', 'level')",14.445561139028484
True,0,20,"('level', 'ram')",1.794023393686909
True,0,20,"('level', 'wind_size_unl')",6.034220247603832
True,0,20,"('level', 'threshold')",2.842054574638844
True,0,25,"('cores', 'ram')",5.964737505249895
True,0,25,"('cores', 'level')",14.445561139028484
True,0,25,"('level', 'ram')",1.794023393686909
True,0,25,"('level', 'wind_size_unl')",6.034220247603832
True,0,25,"('level', 'threshold')",2.842054574638844
True,0,30,"('cores', 'ram')",5.964737505249895
True,0,30,"('cores', 'level')",14.445561139028484
True,0,30,"('level', 'ram')",1.794023393686909
True,0,30,"('level', 'wind_size_unl')",6.034220247603832
True,0,30,"('level', 'threshold')",2.842054574638844
True,0,35,"('cores', 'ram')",5.964737505249895
True,0,35,"('cores', 'level')",14.445561139028484
True,0,35,"('level', 'ram')",1.794023393686909
True,0,35,"('level', 'wind_size_unl')",6.034220247603832
True,0,35,"('level', 'threshold')",2.842054574638844
True,0,40,"('cores', 'ram')",5.964737505249895
True,0,40,"('cores', 'level')",14.445561139028484
True,0,40,"('level', 'ram')",1.794023393686909
True,0,40,"('level', 'wind_size_unl')",6.034220247603832
True,0,40,"('level', 'threshold')",2.842054574638844
True,0,45,"('cores', 'ram')",5.964737505249895
True,0,45,"('cores', 'level')",14.445561139028484
True,0,45,"('level', 'ram')",1.794023393686909
True,0,45,"('level', 'wind_size_unl')",6.034220247603832
True,0,45,"('level', 'threshold')",2.842054574638844
True,0,50,"('cores', 'ram')",5.964737505249895
True,0,50,"('cores', 'level')",14.445561139028484
True,0,50,"('level', 'ram')",1.794023393686909
True,0,50,"('level', 'wind_size_unl')",6.034220247603832
True,0,50,"('level', 'threshold')",2.842054574638844
True,0,55,"('cores', 'ram')",5.964737505249895
True,0,55,"('cores', 'level')",14.445561139028484
True,0,55,"('level', 'ram')",1.794023393686909
True,0,55,"('level', 'wind_size_unl')",6.034220247603832
True,0,55,"('level', 'threshold')",2.842054574638844
True,0,60,"('cores', 'ram')",5.964737505249895
True,0,60,"('cores', 'level')",14.445561139028484
True,0,60,"('level', 'ram')",1.794023393686909
True,0,60,"('level', 'wind_size_unl')",6.034220247603832
True,0,60,"('level', 'threshold')",2.842054574638844
True,0,65,"('cores', 'ram')",5.964737505249895
True,0,65,"('cores', 'level')",14.445561139028484
True,0,65,"('level', 'ram')",1.794023393686909
True,0,65,"('level', 'wind_size_unl')",6.034220247603832
True,0,65,"('level', 'threshold')",2.842054574638844
True,0,70,"('cores', 'ram')",5.964737505249895
True,0,70,"('cores', 'level')",14.445561139028484
True,0,70,"('level', 'ram')",1.794023393686909
True,0,70,"('level', 'wind_size_unl')",6.034220247603832
True,0,70,"('level', 'threshold')",2.842054574638844
True,0,75,"('cores', 'ram')",5.964737505249895
True,0,75,"('cores', 'level')",14.445561139028484
True,0,75,"('level', 'ram')",1.794023393686909
True,0,75,"('level', 'wind_size_unl')",6.034220247603832
True,0,75,"('level', 'threshold')",2.842054574638844
True,0,80,"('cores', 'ram')",5.964737505249895
True,0,80,"('cores', 'level')",14.445561139028484
True,0,80,"('level', 'ram')",1.794023393686909
True,0,80,"('level', 'wind_size_unl')",6.034220247603832
True,0,80,"('level', 'threshold')",2.842054574638844
True,0,85,"('cores', 'ram')",5.964737505249895
True,0,85,"('cores', 'level')",14.445561139028484
True,0,85,"('level', 'ram')",1.794023393686909
True,0,85,"('level', 'wind_size_unl')",6.034220247603832
True,0,85,"('level', 'threshold')",2.842054574638844
True,0,90,"('cores', 'ram')",5.964737505249895
True,0,90,"('cores', 'level')",14.445561139028484
True,0,90,"('level', 'ram')",1.794023393686909
True,0,90,"('level', 'wind_size_unl')",6.034220247603832
True,0,90,"('level', 'threshold')",2.842054574638844
True,0,95,"('cores', 'ram')",5.964737505249895
True,0,95,"('cores', 'level')",14.445561139028484
True,0,95,"('level', 'ram')",1.794023393686909
True,0,95,"('level', 'wind_size_unl')",6.034220247603832
True,0,95,"('level', 'threshold')",2.842054574638844
True,0,100,"('cores', 'ram')",5.964737505249895
True,0,100,"('cores', 'level')",14.445561139028484
True,0,100,"('level', 'ram')",1.794023393686909
True,0,100,"('level', 'wind_size_unl')",6.034220247603832
True,0,100,"('level', 'threshold')",2.842054574638844
True,1,15,"('ram',)",2.973494601545717
True,1,15,"('cores', 'ram')",1.947978554392909
True,1,15,"('cores', 'level')",2.862419863107937
True,1,15,"('level', 'ram')",1.7345299107906855
True,1,15,"('compression', 'ram')",9.158076776126608
True,1,15,"('compression', 'level')",7.654793646401521
True,1,20,"('ram',)",2.973494601545717
True,1,20,"('cores', 'ram')",1.947978554392909
True,1,20,"('cores', 'level')",2.862419863107937
True,1,20,"('level', 'ram')",1.7345299107906855
True,1,20,"('compression', 'ram')",9.158076776126608
True,1,20,"('compression', 'level')",7.654793646401521
True,1,25,"('ram',)",2.973494601545717
True,1,25,"('cores', 'ram')",1.947978554392909
True,1,25,"('cores', 'level')",2.862419863107937
True,1,25,"('level', 'ram')",1.7345299107906855
True,1,25,"('compression', 'ram')",9.158076776126608
True,1,25,"('compression', 'level')",7.654793646401521
True,1,30,"('ram',)",2.973494601545717
True,1,30,"('cores', 'ram')",1.947978554392909
True,1,30,"('cores', 'level')",2.862419863107937
True,1,30,"('level', 'ram')",1.7345299107906855
True,1,30,"('compression', 'ram')",9.158076776126608
True,1,30,"('compression', 'level')",7.654793646401521
True,1,35,"('ram',)",2.973494601545717
True,1,35,"('cores', 'ram')",1.947978554392909
True,1,35,"('cores', 'level')",2.862419863107937
True,1,35,"('level', 'ram')",1.7345299107906855
True,1,35,"('compression', 'ram')",9.158076776126608
True,1,35,"('compression', 'level')",7.654793646401521
True,1,40,"('ram',)",2.973494601545717
True,1,40,"('cores', 'ram')",1.947978554392909
True,1,40,"('cores', 'level')",2.862419863107937
True,1,40,"('level', 'ram')",1.7345299107906855
True,1,40,"('compression', 'ram')",9.158076776126608
True,1,40,"('compression', 'level')",7.654793646401521
True,1,45,"('ram',)",2.973494601545717
True,1,45,"('cores', 'ram')",1.947978554392909
True,1,45,"('cores', 'level')",2.862419863107937
True,1,45,"('level', 'ram')",1.7345299107906855
True,1,45,"('compression', 'ram')",9.158076776126608
True,1,45,"('compression', 'level')",7.654793646401521
True,1,50,"('ram',)",2.973494601545717
True,1,50,"('cores', 'ram')",1.947978554392909
True,1,50,"('cores', 'level')",2.862419863107937
True,1,50,"('level', 'ram')",1.7345299107906855
True,1,50,"('compression', 'ram')",9.158076776126608
True,1,50,"('compression', 'level')",7.654793646401521
True,1,55,"('ram',)",2.973494601545717
True,1,55,"('cores', 'ram')",1.947978554392909
True,1,55,"('cores', 'level')",2.862419863107937
True,1,55,"('level', 'ram')",1.7345299107906855
True,1,55,"('compression', 'ram')",9.158076776126608
True,1,55,"('compression', 'level')",7.654793646401521
True,1,60,"('ram',)",2.973494601545717
True,1,60,"('cores', 'ram')",1.947978554392909
True,1,60,"('cores', 'level')",2.862419863107937
True,1,60,"('level', 'ram')",1.7345299107906855
True,1,60,"('compression', 'ram')",9.158076776126608
True,1,60,"('compression', 'level')",7.654793646401521
True,1,65,"('ram',)",2.973494601545717
True,1,65,"('cores', 'ram')",1.947978554392909
True,1,65,"('cores', 'level')",2.862419863107937
True,1,65,"('level', 'ram')",1.7345299107906855
True,1,65,"('compression', 'ram')",9.158076776126608
True,1,65,"('compression', 'level')",7.654793646401521
True,1,70,"('ram',)",2.973494601545717
True,1,70,"('cores', 'ram')",1.947978554392909
True,1,70,"('cores', 'level')",2.862419863107937
True,1,70,"('level', 'ram')",1.7345299107906855
True,1,70,"('compression', 'ram')",9.158076776126608
True,1,70,"('compression', 'level')",7.654793646401521
True,1,75,"('ram',)",2.973494601545717
True,1,75,"('cores', 'ram')",1.947978554392909
True,1,75,"('cores', 'level')",2.862419863107937
True,1,75,"('level', 'ram')",1.7345299107906855
True,1,75,"('compression', 'ram')",9.158076776126608
True,1,75,"('compression', 'level')",7.654793646401521
True,1,80,"('ram',)",2.973494601545717
True,1,80,"('cores', 'ram')",1.947978554392909
True,1,80,"('cores', 'level')",2.862419863107937
True,1,80,"('level', 'ram')",1.7345299107906855
True,1,80,"('compression', 'ram')",9.158076776126608
True,1,80,"('compression', 'level')",7.654793646401521
True,1,85,"('ram',)",2.973494601545717
True,1,85,"('cores', 'ram')",1.947978554392909
True,1,85,"('cores', 'level')",2.862419863107937
True,1,85,"('level', 'ram')",1.7345299107906855
True,1,85,"('compression', 'ram')",9.158076776126608
True,1,85,"('compression', 'level')",7.654793646401521
True,1,90,"('ram',)",2.973494601545717
True,1,90,"('cores', 'ram')",1.947978554392909
True,1,90,"('cores', 'level')",2.862419863107937
True,1,90,"('level', 'ram')",1.7345299107906855
True,1,90,"('compression', 'ram')",9.158076776126608
True,1,90,"('compression', 'level')",7.654793646401521
True,1,95,"('ram',)",2.973494601545717
True,1,95,"('cores', 'ram')",1.947978554392909
True,1,95,"('cores', 'level')",2.862419863107937
True,1,95,"('level', 'ram')",1.7345299107906855
True,1,95,"('compression', 'ram')",9.158076776126608
True,1,95,"('compression', 'level')",7.654793646401521
True,1,100,"('ram',)",2.973494601545717
True,1,100,"('cores', 'ram')",1.947978554392909
True,1,100,"('cores', 'level')",2.862419863107937
True,1,100,"('level', 'ram')",1.7345299107906855
True,1,100,"('compression', 'ram')",9.158076776126608
True,1,100,"('compression', 'level')",7.654793646401521
True,2,15,"('cores',)",33.01422626536339
True,2,15,"('level',)",6.607567986064067
True,2,15,"('threshold',)",7.021387786702798
True,2,15,"('cores', 'ram')",8.084470696859574
True,2,15,"('cores', 'level')",11.436303243454471
True,2,15,"('level', 'ram')",5.655048528071211
True,2,15,"('ram', 'wind_size_unl')",4.568345579100558
True,2,15,"('encrypt', 'level')",35.6374786455824
True,2,15,"('ram',)",11.673892706216328
True,2,20,"('cores',)",33.01422626536339
True,2,20,"('level',)",6.607567986064067
True,2,20,"('threshold',)",7.021387786702798
True,2,20,"('cores', 'ram')",8.084470696859574
True,2,20,"('cores', 'level')",11.436303243454471
True,2,20,"('level', 'ram')",5.655048528071211
True,2,20,"('ram', 'wind_size_unl')",4.568345579100558
True,2,20,"('encrypt', 'level')",35.6374786455824
True,2,20,"('ram',)",11.673892706216328
True,2,25,"('cores',)",33.01422626536339
True,2,25,"('level',)",6.607567986064067
True,2,25,"('threshold',)",7.021387786702798
True,2,25,"('cores', 'ram')",8.084470696859574
True,2,25,"('cores', 'level')",11.436303243454471
True,2,25,"('level', 'ram')",5.655048528071211
True,2,25,"('ram', 'wind_size_unl')",4.568345579100558
True,2,25,"('encrypt', 'level')",35.6374786455824
True,2,25,"('ram',)",11.673892706216328
True,2,30,"('cores',)",33.01422626536339
True,2,30,"('level',)",6.607567986064067
True,2,30,"('threshold',)",7.021387786702798
True,2,30,"('cores', 'ram')",8.084470696859574
True,2,30,"('cores', 'level')",11.436303243454471
True,2,30,"('level', 'ram')",5.655048528071211
True,2,30,"('ram', 'wind_size_unl')",4.568345579100558
True,2,30,"('encrypt', 'level')",35.6374786455824
True,2,30,"('ram',)",11.673892706216328
True,2,35,"('cores',)",33.01422626536339
True,2,35,"('level',)",6.607567986064067
True,2,35,"('threshold',)",7.021387786702798
True,2,35,"('cores', 'ram')",8.084470696859574
True,2,35,"('cores', 'level')",11.436303243454471
True,2,35,"('level', 'ram')",5.655048528071211
True,2,35,"('ram', 'wind_size_unl')",4.568345579100558
True,2,35,"('encrypt', 'level')",35.6374786455824
True,2,35,"('ram',)",11.673892706216328
True,2,40,"('cores',)",33.01422626536339
True,2,40,"('level',)",6.607567986064067
True,2,40,"('threshold',)",7.021387786702798
True,2,40,"('cores', 'ram')",8.084470696859574
True,2,40,"('cores', 'level')",11.436303243454471
True,2,40,"('level', 'ram')",5.655048528071211
True,2,40,"('ram', 'wind_size_unl')",4.568345579100558
True,2,40,"('encrypt', 'level')",35.6374786455824
True,2,40,"('ram',)",11.673892706216328
True,2,45,"('cores',)",33.01422626536339
True,2,45,"('level',)",6.607567986064067
True,2,45,"('threshold',)",7.021387786702798
True,2,45,"('cores', 'ram')",8.084470696859574
True,2,45,"('cores', 'level')",11.436303243454471
True,2,45,"('level', 'ram')",5.655048528071211
True,2,45,"('ram', 'wind_size_unl')",4.568345579100558
True,2,45,"('encrypt', 'level')",35.6374786455824
True,2,45,"('ram',)",11.673892706216328
True,2,50,"('cores',)",33.01422626536339
True,2,50,"('level',)",6.607567986064067
True,2,50,"('threshold',)",7.021387786702798
True,2,50,"('cores', 'ram')",8.084470696859574
True,2,50,"('cores', 'level')",11.436303243454471
True,2,50,"('level', 'ram')",5.655048528071211
True,2,50,"('ram', 'wind_size_unl')",4.568345579100558
True,2,50,"('encrypt', 'level')",35.6374786455824
True,2,50,"('ram',)",11.673892706216328
True,2,55,"('cores',)",33.01422626536339
True,2,55,"('level',)",6.607567986064067
True,2,55,"('threshold',)",7.021387786702798
True,2,55,"('cores', 'ram')",8.084470696859574
True,2,55,"('cores', 'level')",11.436303243454471
True,2,55,"('level', 'ram')",5.655048528071211
True,2,55,"('ram', 'wind_size_unl')",4.568345579100558
True,2,55,"('encrypt', 'level')",35.6374786455824
True,2,55,"('ram',)",11.673892706216328
True,2,60,"('cores',)",33.01422626536339
True,2,60,"('level',)",6.607567986064067
True,2,60,"('threshold',)",7.021387786702798
True,2,60,"('cores', 'ram')",8.084470696859574
True,2,60,"('cores', 'level')",11.436303243454471
True,2,60,"('level', 'ram')",5.655048528071211
True,2,60,"('ram', 'wind_size_unl')",4.568345579100558
True,2,60,"('encrypt', 'level')",35.6374786455824
True,2,60,"('ram',)",11.673892706216328
True,2,65,"('cores',)",33.01422626536339
True,2,65,"('level',)",6.607567986064067
True,2,65,"('threshold',)",7.021387786702798
True,2,65,"('cores', 'ram')",8.084470696859574
True,2,65,"('cores', 'level')",11.436303243454471
True,2,65,"('level', 'ram')",5.655048528071211
True,2,65,"('ram', 'wind_size_unl')",4.568345579100558
True,2,65,"('encrypt', 'level')",35.6374786455824
True,2,65,"('ram',)",11.673892706216328
True,2,70,"('cores',)",33.01422626536339
True,2,70,"('level',)",6.607567986064067
True,2,70,"('threshold',)",7.021387786702798
True,2,70,"('cores', 'ram')",8.084470696859574
True,2,70,"('cores', 'level')",11.436303243454471
True,2,70,"('level', 'ram')",5.655048528071211
True,2,70,"('ram', 'wind_size_unl')",4.568345579100558
True,2,70,"('encrypt', 'level')",35.6374786455824
True,2,70,"('ram',)",11.673892706216328
True,2,75,"('cores',)",33.01422626536339
True,2,75,"('level',)",6.607567986064067
True,2,75,"('threshold',)",7.021387786702798
True,2,75,"('cores', 'ram')",8.084470696859574
True,2,75,"('cores', 'level')",11.436303243454471
True,2,75,"('level', 'ram')",5.655048528071211
True,2,75,"('ram', 'wind_size_unl')",4.568345579100558
True,2,75,"('encrypt', 'level')",35.6374786455824
True,2,75,"('ram',)",11.673892706216328
True,2,80,"('cores',)",33.01422626536339
True,2,80,"('level',)",6.607567986064067
True,2,80,"('threshold',)",7.021387786702798
True,2,80,"('cores', 'ram')",8.084470696859574
True,2,80,"('cores', 'level')",11.436303243454471
True,2,80,"('level', 'ram')",5.655048528071211
True,2,80,"('ram', 'wind_size_unl')",4.568345579100558
True,2,80,"('encrypt', 'level')",35.6374786455824
True,2,80,"('ram',)",11.673892706216328
True,2,85,"('cores',)",33.01422626536339
True,2,85,"('level',)",6.607567986064067
True,2,85,"('threshold',)",7.021387786702798
True,2,85,"('cores', 'ram')",8.084470696859574
True,2,85,"('cores', 'level')",11.436303243454471
True,2,85,"('level', 'ram')",5.655048528071211
True,2,85,"('ram', 'wind_size_unl')",4.568345579100558
True,2,85,"('encrypt', 'level')",35.6374786455824
True,2,85,"('ram',)",11.673892706216328
True,2,90,"('cores',)",33.01422626536339
True,2,90,"('level',)",6.607567986064067
True,2,90,"('threshold',)",7.021387786702798
True,2,90,"('cores', 'ram')",8.084470696859574
True,2,90,"('cores', 'level')",11.436303243454471
True,2,90,"('level', 'ram')",5.655048528071211
True,2,90,"('ram', 'wind_size_unl')",4.568345579100558
True,2,90,"('encrypt', 'level')",35.6374786455824
True,2,90,"('ram',)",11.673892706216328
